
=== Parasoft C/C++test - Code Coverage Report ===

* LC - Line Coverage
* DC - Decision (Branch) Coverage
* SCC - Simple Condition Coverage
* MCDC - Modified Condition Decision Coverage

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/buffer/include/iox/detail/stack.inl LC=96% 43/45   DC=89% 16/18   SCC=89% 16/18  MCDC=78% 7/9   
> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/memory/source/memory.cpp LC=0% 0/9      DC=0% 0/4      SCC=0% 0/4     MCDC=0% 0/2    

  iox::alignedAlloc(unsigned long, unsigned long) LC=0% 0/7      DC=0% 0/2      SCC=0% 0/2     MCDC=0% 0/1    
  iox::alignedFree(void *)         LC=0% 0/2      DC=0% 0/2      SCC=0% 0/2     MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/memory/source/relative_pointer_data.cpp LC=100% 4/4    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  

  iox::RelativePointerData::id() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointerData::isLogicalNullptr() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::RelativePointerData::offset() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::RelativePointerData::reset() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/design/include/iox/detail/file_management_interface.inl LC=81% 21/26   DC=50% 5/10    SCC=50% 5/10   MCDC=0% 0/5    

  iox::FileManagementInterface<T1>::get_ownership() const LC=80% 4/5     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::FileManagementInterface<T1>::get_permissions() const LC=83% 5/6     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::FileManagementInterface<T1>::get_size() const LC=80% 4/5     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::FileManagementInterface<T1>::set_ownership(iox::Ownership) LC=80% 4/5     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::FileManagementInterface<T1>::set_permissions(iox::access_rights) LC=80% 4/5     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/design/source/file_management_interface.cpp LC=29% 14/49   DC=14% 3/22    SCC=8% 3/38    MCDC=0% 0/19   

  iox::Ownership::Ownership(unsigned int, unsigned int) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::Ownership::from_process()   LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::Ownership::from_user_and_group(const iox::UserName &, const iox::GroupName &) LC=0% 0/5      DC=0% 0/2      SCC=0% 0/4     MCDC=0% 0/2    
  iox::Ownership::from_user_and_group(unsigned int, unsigned int) LC=0% 0/3      DC=0% 0/2      SCC=0% 0/4     MCDC=0% 0/2    
  iox::Ownership::gid() const      LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::Ownership::uid() const      LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::details::get_file_status(int) LC=36% 4/11    DC=20% 1/5     SCC=13% 1/8    MCDC=0% 0/4    
  iox::details::set_owner(int, unsigned int, unsigned int) LC=19% 3/16    DC=13% 1/8     SCC=7% 1/14    MCDC=0% 0/7    
  iox::details::set_permissions(int, iox::access_rights) LC=30% 3/10    DC=20% 1/5     SCC=13% 1/8    MCDC=0% 0/4    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/filesystem/include/iox/file.hpp LC=50% 4/8     DC=N/A         SCC=N/A        MCDC=N/A       

  iox::FileBuilder::access_mode(const iox::posix::AccessMode &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::FileBuilder::access_mode(iox::posix::AccessMode &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::FileBuilder::open_mode(const iox::posix::OpenMode &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::FileBuilder::open_mode(iox::posix::OpenMode &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::FileBuilder::owner(const iox::Ownership &) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::FileBuilder::owner(iox::Ownership &&) && LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::FileBuilder::permissions(const iox::access_rights &) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::FileBuilder::permissions(iox::access_rights &&) && LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/filesystem/source/file.cpp LC=37% 66/179  DC=37% 35/95   SCC=24% 39/162 MCDC=14% 11/81 

  iox::File::File(int, iox::posix::AccessMode) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::File::File(iox::File&&)     LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::File::close_fd()            LC=38% 6/16    DC=38% 3/8     SCC=25% 3/12   MCDC=17% 1/6   
  iox::File::does_exist(const iox::FilePath &) LC=33% 5/15    DC=38% 3/8     SCC=17% 2/12   MCDC=17% 1/6   
  iox::File::get_file_handle() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::File::operator =(iox::File&&) LC=100% 6/6    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::File::read(unsigned char *, unsigned long) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::File::read_at(unsigned long, unsigned char *, unsigned long) const LC=32% 7/22    DC=33% 4/12    SCC=23% 5/22   MCDC=9% 1/11   
  iox::File::remove(const iox::FilePath &) LC=23% 5/22    DC=25% 3/12    SCC=11% 2/18   MCDC=11% 1/9   
  iox::File::set_offset(unsigned long) const LC=25% 4/16    DC=22% 2/9     SCC=14% 2/14   MCDC=0% 0/7    
  iox::File::write(const unsigned char *, unsigned long) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::File::write_at(unsigned long, const unsigned char *, unsigned long) const LC=25% 7/28    DC=27% 4/15    SCC=18% 5/28   MCDC=7% 1/14   
  iox::File::~File()               LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::FileBuilder::create(const iox::FilePath &) LC=60% 3/5     DC=75% 3/4     SCC=50% 3/6    MCDC=33% 1/3   
  iox::FileBuilder::open(const iox::FilePath &) LC=40% 17/43   DC=48% 12/25   SCC=33% 16/48  MCDC=21% 5/24  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/time/source/adaptive_wait.cpp LC=100% 8/8    DC=100% 6/6    SCC=100% 6/6   MCDC=100% 3/3  

  iox::detail::adaptive_wait::wait() LC=100% 6/6    DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::detail::adaptive_wait::wait_loop(const iox::function_ref<bool ()> &) LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/time/source/deadline_timer.cpp LC=100% 13/13  DC=100% 2/2    SCC=83% 5/6    MCDC=67% 2/3   

  iox::deadline_timer::deadline_timer(iox::units::Duration) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::deadline_timer::getCurrentMonotonicTime() LC=100% 3/3    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::deadline_timer::hasExpired() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::deadline_timer::remainingTime() const LC=100% 5/5    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::deadline_timer::reset()     LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::deadline_timer::reset(iox::units::Duration) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/vocabulary/source/file_name.cpp LC=100% 11/11  DC=100% 4/4    SCC=89% 32/36  MCDC=72% 13/18 

  iox::details::file_name_does_contain_invalid_characters(const iox::string<(unsigned long)255> &) LC=100% 10/10  DC=100% 4/4    SCC=87% 26/30  MCDC=67% 10/15 
  iox::details::file_name_does_contain_invalid_content(const iox::string<(unsigned long)255> &) LC=100% 1/1    DC=N/A         SCC=100% 6/6   MCDC=100% 3/3  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/vocabulary/source/file_path.cpp LC=100% 16/16  DC=100% 8/8    SCC=89% 34/38  MCDC=74% 14/19 

  iox::details::file_path_does_contain_invalid_characters(const iox::string<(unsigned long)1023> &) LC=100% 11/11  DC=100% 4/4    SCC=88% 30/34  MCDC=71% 12/17 
  iox::details::file_path_does_contain_invalid_characters(const iox::string<(unsigned long)1023> &)::[lambda() (instance 1)] LC=100% 4/4    DC=100% 4/4    SCC=100% 2/2   MCDC=100% 1/1  
  iox::details::file_path_does_contain_invalid_content(const iox::string<(unsigned long)1023> &) LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/vocabulary/source/group_name.cpp LC=100% 12/12  DC=100% 6/6    SCC=92% 24/26  MCDC=85% 11/13 

  iox::details::group_name_does_contain_invalid_characters(const iox::string<(unsigned long)32> &) LC=100% 8/8    DC=100% 4/4    SCC=94% 17/18  MCDC=89% 8/9   
  iox::details::group_name_does_contain_invalid_content(const iox::string<(unsigned long)32> &) LC=100% 4/4    DC=100% 2/2    SCC=88% 7/8    MCDC=75% 3/4   

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/vocabulary/source/path.cpp LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::details::path_does_contain_invalid_content(const iox::string<(unsigned long)1023> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/posix/vocabulary/source/user_name.cpp LC=100% 12/12  DC=100% 6/6    SCC=92% 24/26  MCDC=85% 11/13 

  iox::details::user_name_does_contain_invalid_characters(const iox::string<(unsigned long)32> &) LC=100% 8/8    DC=100% 4/4    SCC=94% 17/18  MCDC=89% 8/9   
  iox::details::user_name_does_contain_invalid_content(const iox::string<(unsigned long)32> &) LC=100% 4/4    DC=100% 2/2    SCC=88% 7/8    MCDC=75% 3/4   

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/primitives/include/iox/attributes.hpp LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

  void iox::internal::IOX_DISCARD_RESULT_IMPL<T1>(T1 &&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/reporting/include/iox/detail/log/building_blocks/console_logger.inl LC=92% 11/12   DC=75% 3/4     SCC=50% 1/2    MCDC=0% 0/1    

  void iox::log::ConsoleLogger::logArithmetic<T1>(T1, const char *) LC=89% 8/9     DC=75% 3/4     SCC=50% 1/2    MCDC=0% 0/1    
  void iox::log::ConsoleLogger::logDec<T1, T2>(T1) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::log::ConsoleLogger::logHex<T1, T2>(T1) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  void iox::log::ConsoleLogger::logOct<T1, T2>(T1) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/reporting/include/iox/detail/log/building_blocks/logger.inl LC=63% 19/30   DC=63% 5/8     SCC=63% 5/8    MCDC=25% 1/4   

  bool iox::log::equalStrings<unsigned int>(const char *, const char (&)[T1]) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::internal::Logger<T1>::activeLogger(iox::log::internal::Logger<T1>*) LC=63% 10/16   DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   
  iox::log::internal::Logger<T1>::get() LC=75% 3/4     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::log::internal::Logger<T1>::init(iox::log::LogLevel) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::internal::Logger<T1>::initLoggerInternal(iox::log::LogLevel) LC=57% 4/7     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::log::internal::Logger<T1>::setActiveLogger(iox::log::internal::Logger<T1>&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/reporting/include/iox/detail/log/logstream.inl LC=80% 28/35   DC=100% 2/2    SCC=83% 5/6    MCDC=67% 2/3   

  iox::log::LogStream& iox::log::LogStream::operator <<<T1, T2>(T1) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream& iox::log::LogStream::operator <<<T1, T2>(const T1 &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream& iox::log::LogStream::operator <<<T1, T2>(iox::log::LogHex<T1>) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream& iox::log::LogStream::operator <<<T1, T2>(iox::log::LogOct<T1>) LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::LogStream(const char *, int, const char *, iox::log::LogLevel) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::LogStream(const char *, int, const char *, iox::log::LogLevel, bool) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::LogStream(iox::log::internal::Logger<iox::log::ConsoleLogger> &, const char *, int, const char *, iox::log::LogLevel) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::flush()     LC=100% 3/3    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::log::LogStream::operator <<(bool) LC=100% 2/2    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::log::LogStream::operator <<(const char *) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::operator <<(const std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> &) LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::operator <<(iox::log::LogHex<const void *const >) LC=0% 0/3      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::operator <<(iox::log::LogLevel) LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::self()      LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::LogStream::~LogStream() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::hex(const void *)      LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::internal::LogStreamOff::LogStreamOff(const char *, int, const char *, iox::log::LogLevel, bool) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::internal::LogStreamOff::self() LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/reporting/include/iox/logging.hpp LC=100% 1/1    DC=N/A         SCC=75% 3/4    MCDC=50% 1/2   

  iox::log::internal::isLogLevelActive(iox::log::LogLevel) LC=100% 1/1    DC=N/A         SCC=75% 3/4    MCDC=50% 1/2   

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/reporting/source/log/building_blocks/console_logger.cpp LC=85% 47/55   DC=50% 8/16    SCC=55% 11/20  MCDC=20% 2/10  

  iox::log::ConsoleLogger::assumeFlushed() LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::ConsoleLogger::createLogMessageHeader(const char *, int, const char *, iox::log::LogLevel) LC=88% 28/32   DC=50% 5/10    SCC=50% 6/12   MCDC=0% 0/6    
  iox::log::ConsoleLogger::flush() LC=0% 0/3      DC=0% 0/2      SCC=0% 0/2     MCDC=0% 0/1    
  iox::log::ConsoleLogger::getLogBuffer() const LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::ConsoleLogger::getLogLevel() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::ConsoleLogger::getThreadLocalData() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::ConsoleLogger::initLogger(iox::log::LogLevel) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::log::ConsoleLogger::logBool(bool) LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::log::ConsoleLogger::logString(const char *) LC=89% 8/9     DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   
  iox::log::ConsoleLogger::setLogLevel(iox::log::LogLevel) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/reporting/source/log/building_blocks/logger.cpp LC=14% 3/21    DC=6% 1/16     SCC=6% 1/16    MCDC=0% 0/8    

  iox::log::logLevelFromEnvOr(iox::log::LogLevel) LC=14% 3/21    DC=6% 1/16     SCC=6% 1/16    MCDC=0% 0/8    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/concurrent/loffli.cpp LC=100% 31/31  DC=75% 9/12    SCC=75% 18/24  MCDC=50% 6/12  

  iox::concurrent::LoFFLi::init(iox::not_null<unsigned int *, void>, unsigned int) LC=100% 10/10  DC=75% 3/4     SCC=80% 8/10   MCDC=60% 3/5   
  iox::concurrent::LoFFLi::pop(unsigned int &) LC=100% 11/11  DC=75% 3/4     SCC=67% 4/6    MCDC=33% 1/3   
  iox::concurrent::LoFFLi::push(unsigned int) LC=100% 10/10  DC=75% 3/4     SCC=75% 6/8    MCDC=50% 2/4   

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/cxx/requires.cpp LC=100% 6/6    DC=100% 4/4    SCC=75% 6/8    MCDC=50% 2/4   

  iox::cxx::internal::Require(bool, const char *, int, const char *, const char *) LC=100% 3/3    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   
  iox::cxx::internal::Require(bool, const char *, int, const char *, const char *, const char *) LC=100% 3/3    DC=100% 2/2    SCC=75% 3/4    MCDC=50% 1/2   

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/error_handling/error_handler.cpp LC=0% 0/12     DC=0% 0/4      SCC=0% 0/6     MCDC=0% 0/3    

  iox::ErrorHandler::defaultHandler(unsigned int, const char *, iox::ErrorLevel) LC=0% 0/1      DC=N/A         SCC=N/A        MCDC=N/A       
  iox::ErrorHandler::reactOnErrorLevel(iox::ErrorLevel, const char *) LC=0% 0/11     DC=0% 0/4      SCC=0% 0/6     MCDC=0% 0/3    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/error_handling/error_handling.cpp LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::asStringLiteral(iox::HoofsError) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/error_reporting/custom/default/default_error_handler.cpp LC=100% 3/3    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::er::DefaultErrorHandler::onPanic() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::DefaultErrorHandler::onReportError(iox::er::ErrorDescriptor) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::er::DefaultErrorHandler::onReportViolation(iox::er::ErrorDescriptor) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/access_control.cpp LC=75% 76/101  DC=73% 40/55   SCC=49% 44/90  MCDC=22% 10/45 

  iox::posix::AccessController::addAclPermission(__acl_permset_ext *, unsigned int) LC=60% 3/5     DC=50% 1/2     SCC=25% 1/4    MCDC=0% 0/2    
  iox::posix::AccessController::addGroupPermission(iox::posix::AccessController::Permission, const iox::string<(unsigned long)32> &) LC=71% 5/7     DC=75% 3/4     SCC=63% 5/8    MCDC=50% 2/4   
  iox::posix::AccessController::addPermissionEntry(iox::posix::AccessController::Category, iox::posix::AccessController::Permission, unsigned int) LC=100% 17/17  DC=100% 9/9    SCC=71% 10/14  MCDC=43% 3/7   
  iox::posix::AccessController::addUserPermission(iox::posix::AccessController::Permission, const iox::string<(unsigned long)32> &) LC=71% 5/7     DC=75% 3/4     SCC=50% 4/8    MCDC=25% 1/4   
  iox::posix::AccessController::createACL(int) LC=80% 4/5     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::AccessController::createACL(int)::[lambda(__acl_ext *) (instance 1)] LC=100% 2/2    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::AccessController::createACLEntry(__acl_ext *, const iox::posix::AccessController::PermissionEntry &) LC=64% 23/36   DC=60% 12/20   SCC=29% 8/28   MCDC=0% 0/14   
  iox::posix::AccessController::writePermissionsToFile(int) const LC=77% 17/22   DC=79% 11/14   SCC=58% 14/24  MCDC=33% 4/12  

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/file_lock.cpp LC=41% 38/92   DC=38% 15/40   SCC=23% 18/80  MCDC=10% 4/40  

  iox::posix::FileLock::FileLock(int, const iox::string<(unsigned long)1023> &) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::FileLock::FileLock(iox::posix::FileLock&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::FileLock::closeFileDescriptor() LC=88% 7/8     DC=75% 3/4     SCC=75% 3/4    MCDC=50% 1/2   
  iox::posix::FileLock::closeFileDescriptor()::[lambda(T1 &) (instance 1)] LC=0% 0/3      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::FileLock::closeFileDescriptor()::[lambda(T1 &) (instance 2)] LC=0% 0/3      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::FileLock::closeFileDescriptor()::[lambda(T1 &) (instance 3)] LC=0% 0/3      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::FileLock::convertErrnoToFileLockError(int, const iox::string<(unsigned long)1023> &) LC=5% 2/40     DC=5% 1/20     SCC=0% 0/38    MCDC=0% 0/19   
  iox::posix::FileLock::invalidate() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::FileLock::operator =(iox::posix::FileLock&&) LC=86% 6/7     DC=50% 2/4     SCC=33% 2/6    MCDC=0% 0/3    
  iox::posix::FileLock::~FileLock() LC=50% 1/2     DC=50% 1/2     SCC=25% 1/4    MCDC=0% 0/2    
  iox::posix::FileLockBuilder::create() LC=90% 18/20   DC=80% 8/10    SCC=60% 12/20  MCDC=30% 3/10  
  iox::posix::FileLockBuilder::create()::[lambda(T1 &) (instance 1)] LC=0% 0/2      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/mutex.cpp LC=46% 71/155  DC=40% 31/77   SCC=25% 34/136 MCDC=7% 5/68   

  iox::posix::MutexAttributes::enableIpcSupport(bool) LC=38% 3/8     DC=25% 1/4     SCC=25% 2/8    MCDC=0% 0/4    
  iox::posix::MutexAttributes::init() LC=44% 4/9     DC=25% 1/4     SCC=17% 1/6    MCDC=0% 0/3    
  iox::posix::MutexAttributes::setPrioCeiling(int) LC=0% 0/12     DC=0% 0/6      SCC=0% 0/8     MCDC=0% 0/4    
  iox::posix::MutexAttributes::setProtocol(iox::posix::MutexPriorityInheritance) LC=25% 3/12    DC=17% 1/6     SCC=10% 1/10   MCDC=0% 0/5    
  iox::posix::MutexAttributes::setThreadTerminationBehavior(iox::posix::MutexThreadTerminationBehavior) LC=60% 3/5     DC=50% 1/2     SCC=25% 1/4    MCDC=0% 0/2    
  iox::posix::MutexAttributes::setType(iox::posix::MutexType) LC=60% 3/5     DC=50% 1/2     SCC=25% 1/4    MCDC=0% 0/2    
  iox::posix::MutexAttributes::~MutexAttributes() LC=75% 3/4     DC=50% 2/4     SCC=33% 2/6    MCDC=0% 0/3    
  iox::posix::MutexBuilder::create(iox::optional<iox::posix::mutex> &) LC=68% 21/31   DC=50% 9/18    SCC=46% 11/24  MCDC=8% 1/12   
  iox::posix::initializeMutex(pthread_mutex_t *, const pthread_mutexattr_t *) LC=25% 3/12    DC=17% 1/6     SCC=10% 1/10   MCDC=0% 0/5    
  iox::posix::mutex::lock()        LC=40% 6/15    DC=43% 3/7     SCC=25% 3/12   MCDC=17% 1/6   
  iox::posix::mutex::make_consistent() LC=100% 2/2    DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::mutex::make_consistent()::[lambda(T1) (instance 1)] LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::mutex::make_consistent()::[lambda(T1) (instance 2)] LC=0% 0/1      DC=N/A         SCC=0% 0/2     MCDC=0% 0/1    
  iox::posix::mutex::mutex(bool)   LC=0% 0/9      DC=N/A         SCC=0% 0/16    MCDC=0% 0/8    
  iox::posix::mutex::try_lock()    LC=54% 7/13    DC=50% 3/6     SCC=30% 3/10   MCDC=20% 1/5   
  iox::posix::mutex::unlock()      LC=75% 6/8     DC=75% 3/4     SCC=50% 3/6    MCDC=33% 1/3   
  iox::posix::mutex::~mutex()      LC=75% 6/8     DC=67% 4/6     SCC=50% 4/8    MCDC=25% 1/4   

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/source/posix_wrapper/named_semaphore.cpp LC=63% 50/80   DC=60% 27/45   SCC=46% 31/68  MCDC=29% 10/34 

  iox::posix::NamedSemaphore::NamedSemaphore(sem_t *, const iox::string<(unsigned long)250> &, bool) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphore::getHandle() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::posix::NamedSemaphore::~NamedSemaphore() LC=75% 3/4     DC=75% 3/4     SCC=50% 3/6    MCDC=33% 1/3   
  iox::posix::NamedSemaphoreBuilder::create(iox::optional<iox::posix::NamedSemaphore> &) const LC=89% 24/27   DC=85% 17/20   SCC=77% 20/26  MCDC=54% 7/13  
  iox::posix::createNameWithSlash(const iox::string<(unsigned long)250> &) LC=100% 3/3    DC=N/A         SCC=50% 1/2    MCDC=0% 0/1    
  iox::posix::createSemaphore(iox::optional<iox::posix::NamedSemaphore> &, const iox::string<(unsigned long)250> &, iox::posix::OpenMode, iox::access_rights, unsigned int) LC=44% 8/18    DC=38% 3/8     SCC=21% 3/14   MCDC=14% 1/7   
